Index_Crimes,Date,Monster involved,Days of Investigation,Region,Crime Type,Crime Weapon,Time of Day,Evidence Found
6754,2024-01-25,Werewolf,59.0,mountain,assault,axe,night,blood
3229,2020-02-14,Werewolf,59.0,forest,assault,axe,night,bones
1963,2020-02-29,Ghost,99.0,castle,vandalism,N/A,dawn,potions
7789,2022-10-27,Witch,83.0,mountain,arson,knife,day,potions
4943,2020-12-23,Ghost,77.0,village,theft,brute force,dusk,potions
4829,2020-02-20,Ghost,86.0,castle,nightly disturbance,N/A,night,potions
1512,2020-04-11,Werewolf,73.0,forest,vandalism,axe,night,blood
1979,2021-06-10,Witch,57.0,forest,kidnapping,N/A,night,cloak
9263,2022-06-09,Ghost,57.0,village,vandalism,N/A,night,potions
9843,2023-11-28,Vampire,86.0,castle,assault,axe,dusk,teeth
7403,2021-09-25,Skeleton,74.0,mountain,vandalism,knife,dusk,cloak
8026,2024-03-31,Ghost,22.0,village,arson,N/A,dawn,cloak
3049,2020-08-30,Werewolf,81.0,forest,assault,axe,dusk,fur
6815,2021-01-02,Witch,42.0,swamp,kidnapping,knife,dusk,bones
521,2020-01-28,Vampire,75.0,castle,nightly disturbance,brute force,night,cloak
3974,2022-03-30,Vampire,20.0,castle,nightly disturbance,N/A,night,blood
3057,2022-01-11,Zombie,58.0,swamp,murder,pistol,night,bones
1213,2023-03-31,Ghost,79.0,castle,theft,N/A,night,cloak
5076,2024-05-20,Zombie,33.0,swamp,kidnapping,pistol,dawn,potions
9882,2024-03-14,Vampire,25.0,castle,nightly disturbance,N/A,night,blood
930,2022-11-07,Vampire,83.0,castle,nightly disturbance,pistol,night,cloak
4696,2020-06-16,Witch,47.0,village,arson,N/A,dawn,potions
5386,2020-03-31,Werewolf,98.0,forest,nightly disturbance,brute force,night,teeth
1088,2022-05-04,Werewolf,82.0,mountain,assault,knife,dusk,fur
6837,2023-01-03,Witch,4.0,swamp,arson,knife,dusk,cloak
9505,2024-06-04,Werewolf,38.0,mountain,assault,N/A,dusk,bones
1690,2021-09-22,Witch,9.0,swamp,arson,axe,dusk,potions
482,2023-06-30,Witch,71.0,village,arson,brute force,day,bones
9278,2022-06-09,Ghost,36.0,castle,nightly disturbance,pistol,night,cloak
8929,2024-06-04,Skeleton,11.0,mountain,arson,N/A,dawn,bones
5818,2021-04-13,Vampire,72.0,castle,murder,axe,dusk,blood
6361,2020-12-04,Vampire,7.0,castle,theft,N/A,dawn,blood
2506,2020-06-13,Werewolf,9.0,mountain,assault,pistol,night,teeth
5551,2021-05-17,Zombie,12.0,swamp,Kidnapping,N/A,dusk,bones
3954,2023-10-26,Ghost,95.0,castle,arson,pistol,night,Cloak
2163,2021-07-26,zombie,19.0,mountain,murder,N/A,dawn,Fur
5511,2022-08-23,Zombie,27.0,village,kidnapping,N/A,night,potions
5435,2023-03-12,Witch,37.0,swamp,arson,N/A,night,bones
9075,2023-09-02,Zombie,36.0,village,kidnapping,axe,dusk,bones
4064,2023-12-13,Skeleton,20.0,castle,assault,N/A,night,bones
3521,2023-11-22,Ghost,72.0,castle,vandalism,N/A,night,potions
2483,2021-06-08,Vampire,95.0,castle,assault,knife,night,teeth
2492,2022-05-05,Ghost,27.0,village,vandalism,N/A,dawn,potions
8785,2022-05-16,Werewolf,45.0,forest,nightly disturbance,N/A,night,fur
1384,2023-05-12,Zombie,18.0,village,kidnapping,axe,dawn,teeth
6757,2020-01-31,Zombie,94.0,swamp,kidnapping,N/A,dusk,bones
7529,2022-08-24,Ghost,78.0,forest,nightly disturbance,pistol,night,cloak
10075,2022-06-30,Zombie,49.0,forest,kidnapping,pistol,night,bones
1923,2024-09-30,Vampire,64.0,forest,assault,brute force,dawn,blood
4918,2024-02-03,Zombie,21.0,swamp,murder,knife,night,bones
4757,2022-01-07,Skeleton,57.0,mountain,vandalism,N/A,day,BONES
7963,2022-11-28,Witch,43.0,Village,theft,brute force,dusk,cloak
1813,2024-03-28,Skeleton,19.0,castle,arson,axe,day,cloak
2906,2024-05-09,Werewolf,86.0,village,assault,axe,dusk,potions
6281,2022-05-04,Werewolf,77.0,mountain,vandalism,knife,night,fur
5265,2020-08-04,Skeleton,13.0,castle,nightly disturbance,brute force,night,bones
2272,2022-08-28,Werewolf,56.0,mountain,assault,knife,night,fur
1760,2023-08-03,Skeleton,36.0,castle,vandalism,pistol,day,cloak
1030,2024-03-03,Werewolf,70.0,mountain,assault,N/A,night,Teeth
713,2022-04-22,Skeleton,42.0,castle,nightly disturbance,N/A,night,bones
4338,2020-08-04,Skeleton,53.0,castle,arson,axe,dawn,bones
5635,2021-05-03,Werewolf,31.0,forest,assault,axe,night,blood
7237,2023-09-07,Skeleton,45.0,castle,arson,N/A,dusk,bones
8261,2021-01-11,Zombie,4.0,swamp,kidnapping,pistol,night,potions
917,2024-02-04,Vampire,41.0,castle,assault,brute force,Night,blood
5245,2020-08-27,Vampire,31.0,castle,murder,axe,dusk,blood
3109,2020-08-27,Werewolf,77.0,forest,assault,axe,dawn,teeth
9459,2021-01-04,Ghost,85.0,castle,theft,brute force,night,potions
602,2020-12-11,Skeleton,58.0,castle,arson,pistol,day,bones
5358,2020-05-24,Ghost,31.0,village,nightly disturbance,N/A,night,cloak
447,2022-01-17,Werewolf,48.0,mountain,assault,knife,night,bones
7681,2023-04-06,Skeleton,21.0,castle,nightly disturbance,knife,night,bones
4133,2022-11-02,Ghost,76.0,village,nightly disturbance,axe,night,potions
6196,2023-08-31,Zombie,58.0,swamp,murder,knife,night,potions
11,2023-08-15,Skeleton,82.0,mountain,vandalism,N/A,dusk,bones
3815,2024-05-25,Witch,55.0,village,kidnapping,knife,dusk,potions
9090,2024-07-20,Werewolf,46.0,forest,assault,axe,dusk,teeth
3747,2023-11-13,Ghost,7.0,castle,nightly disturbance,N/A,night,cloak
3819,2022-01-19,Ghost,75.0,castle,nightly disturbance,axe,night,potions
94,2024-07-03,Vampire,3.0,mountain,assault,N/A,dawn,cloak
9331,2021-03-01,Vampire,34.0,castle,nightly disturbance,axe,night,blood
3989,2021-08-24,Ghost,69.0,village,nightly disturbance,N/A,night,potions
5845,2023-07-07,Werewolf,86.0,forest,assault,brute force,dusk,bones
4917,2022-11-22,Zombie,82.0,mountain,assault,pistol,dawn,potions
4849,2024-08-31,Vampire,54.0,castle,theft,pistol,dusk,cloak
4914,2024-03-06,Zombie,36.0,mountain,kidnapping,N/A,dawn,bones
297,2024-08-24,Zombie,67.0,forest,kidnapping,N/A,day,bones
7965,2020-07-06,Skeleton,53.0,castle,vandalism,axe,dusk,bones
7478,2024-09-20,Skeleton,85.0,castle,vandalism,pistol,night,bones
5654,2022-09-19,Skeleton,37.0,castle,nightly disturbance,brute force,night,bones
2918,2022-06-07,Witch,39.0,swamp,theft,N/A,dusk,cloak
6520,2023-12-22,Witch,70.0,village,arson,N/A,dawn,bones
2570,2023-07-06,Vampire,6.0,castle,Murder,axe,night,blood
1785,2024-08-15,Zombie,31.0,mountain,kidnapping,N/A,dusk,blood
6869,2022-05-09,Ghost,12.0,village,theft,knife,dusk,cloak
1898,2020-08-28,Skeleton,31.0,forest,vandalism,brute force,night,bones
2004,2024-07-25,Ghost,62.0,castle,nightly disturbance,N/A,night,cloak
9827,2020-08-19,Vampire,25.0,castle,nightly disturbance,knife,night,teeth
9705,2020-05-16,Witch,70.0,village,arson,axe,day,potions
2715,2022-05-08,Vampire,35.0,castle,murder,knife,night,cloak
9020,2021-07-21,Werewolf,68.0,forest,assault,brute force,night,teeth
3494,2022-11-03,Zombie,66.0,village,murder,knife,night,blood
4587,2021-01-09,Witch,12.0,forest,arson,N/A,dusk,potions
2204,2024-02-02,Vampire,45.0,castle,nightly disturbance,knife,night,cloak
4496,2024-09-29,Skeleton,19.0,mountain,nightly disturbance,pistol,night,bones
3898,2023-08-16,Ghost,10.0,village,nightly disturbance,BRUTE FORCE,night,cloak
7698,2022-01-16,Werewolf,93.0,swamp,assault,pistol,night,fur
7730,2022-06-25,Werewolf,42.0,swamp,nightly disturbance,N/A,night,fur
4565,2023-07-01,Ghost,53.0,mountain,vandalism,knife,dusk,cloak
2545,2021-11-06,Werewolf,92.0,mountain,assault,pistol,night,blood
4883,2024-05-03,Zombie,22.0,mountain,assault,brute force,night,fur
2917,2022-07-17,Zombie,48.0,forest,kidnapping,knife,day,blood
7352,2023-04-11,Vampire,53.0,castle,assault,axe,night,blood
6319,2024-07-24,ghost,36.0,village,nightly disturbance,axe,night,potions
4585,2020-05-11,Zombie,14.0,mountain,murder,axe,dawn,fur
5698,2020-10-27,Werewolf,78.0,mountain,assault,axe,night,teeth
9554,2023-05-13,Ghost,26.0,village,nightly disturbance,knife,night,potions
3517,2020-09-11,Ghost,72.0,village,vandalism,pistol,dusk,potions
1292,2021-08-20,Ghost,73.0,castle,nightly disturbance,brute force,night,potions
3180,2021-10-13,Skeleton,73.0,swamp,assault,knife,dusk,bones
8347,2022-11-08,Witch,92.0,mountain,arson,brute force,night,potions
3240,2022-11-30,Werewolf,27.0,mountain,nightly disturbance,N/A,night,teeth
9990,2024-06-05,Ghost,54.0,village,nightly disturbance,knife,night,potions
2772,2024-08-07,Skeleton,77.0,mountain,nightly disturbance,N/A,night,bones
6138,2020-01-31,Skeleton,53.0,mountain,vandalism,brute force,dawn,bones
4088,2023-11-27,Skeleton,75.0,castle,assault,axe,day,bones
5791,2021-04-16,Skeleton,69.0,mountain,arson,N/A,dawn,bones
2977,2023-02-05,Witch,84.0,village,arson,knife,dusk,cloak
5850,2020-05-16,Vampire,85.0,village,assault,axe,night,blood
6863,2021-06-04,Ghost,42.0,castle,vandalism,N/A,night,cloak
6609,2022-07-30,Ghost,67.0,castle,nightly disturbance,knife,night,cloak
708,2023-03-25,Zombie,55.0,swamp,murder,axe,day,potions
3611,2024-08-03,Werewolf,28.0,forest,nightly disturbance,brute force,night,blood
7775,2022-11-07,Vampire,69.0,castle,nightly disturbance,axe,night,blood
2543,2020-04-22,Ghost,29.0,village,vandalism,N/A,dusk,potions
3032,2024-01-23,Skeleton,57.0,castle,arson,axe,dusk,bones
5880,2020-06-27,Werewolf,38.0,forest,assault,knife,night,blood
8668,2022-06-16,Ghost,14.0,castle,arson,brute force,dusk,potions
3722,2021-02-12,Skeleton,70.0,mountain,assault,axe,day,bones
3027,2021-12-02,Zombie,42.0,mountain,kidnapping,knife,night,potions
4295,2023-02-19,Witch,7.0,village,arson,N/A,dusk,potions
3446,2023-11-19,Werewolf,39.0,mountain,assault,knife,night,fur
8039,2023-11-21,Zombie,57.0,swamp,murder,knife,night,teeth
6373,2020-06-06,Vampire,57.0,castle,nightly disturbance,axe,night,blood
8698,2022-07-29,Witch,47.0,village,kidnapping,knife,day,cloak
5060,2020-03-04,Witch,49.0,swamp,arson,N/A,dusk,Cloak
7827,2021-02-14,Ghost,12.0,castle,nightly disturbance,N/A,night,potions
6039,2021-12-16,Ghost,19.0,castle,nightly disturbance,knife,night,cloak
4089,2022-06-01,Werewolf,9.0,mountain,assault,pistol,night,fur
4946,2022-03-07,Vampire,76.0,castle,assault,brute force,night,teeth
1333,2020-09-23,Vampire,25.0,castle,assault,brute force,night,cloak
9870,2024-07-23,Zombie,45.0,swamp,assault,knife,dusk,potions
9229,2019-12-28,Werewolf,31.0,forest,assault,knife,night,fur
7213,2024-02-14,Witch,95.0,village,kidnapping,axe,night,blood
1919,2020-06-20,Vampire,91.0,castle,nightly disturbance,N/A,night,cloak
7538,2023-09-29,Ghost,93.0,castle,nightly disturbance,axe,night,potions
611,2021-01-28,Skeleton,63.0,mountain,nightly disturbance,axe,night,cloak
2878,2020-01-22,Skeleton,24.0,mountain,arson,brute force,day,cloak
8291,2020-05-05,Ghost,52.0,castle,nightly disturbance,knife,night,cloak
398,2020-02-26,Werewolf,67.0,mountain,kidnapping,knife,dusk,fur
4481,2023-05-07,Zombie,44.0,swamp,murder,N/A,day,blood
9542,2024-01-14,Witch,99.0,village,arson,knife,night,cloak
7305,2019-11-09,Witch,30.0,forest,theft,knife,day,cloak
5454,2021-04-24,Witch,3.0,village,arson,axe,day,cloak
96,2020-09-27,Skeleton,81.0,mountain,nightly disturbance,knife,night,Bones
1679,2022-08-22,Ghost,7.0,village,nightly disturbance,N/A,night,potions
9060,2022-02-23,Ghost,75.0,village,vandalism,knife,night,cloak
5180,2022-10-26,Witch,58.0,village,arson,knife,day,potions
1504,2022-06-17,Witch,76.0,village,arson,N/A,dusk,fur
8401,2022-10-07,Werewolf,69.0,forest,vandalism,brute force,night,teeth
2737,2022-12-23,Witch,23.0,village,arson,N/A,night,potions
1611,2023-01-13,Werewolf,64.0,forest,assault,brute force,night,fur
9369,2024-06-08,Zombie,78.0,village,murder,brute force,dawn,teeth
2405,2022-10-27,Zombie,32.0,swamp,kidnapping,axe,dusk,potions
5190,2022-01-02,Werewolf,48.0,forest,assault,brute force,night,fur
6209,2020-03-07,Skeleton,98.0,mountain,vandalism,knife,dusk,bones
8325,2024-05-29,Witch,82.0,swamp,arson,N/A,dawn,bones
3988,2024-03-23,Ghost,33.0,castle,vandalism,knife,night,cloak
3973,2020-11-16,Witch,92.0,swamp,kidnapping,N/A,day,teeth
4844,2023-12-25,Vampire,79.0,castle,nightly disturbance,pistol,night,blood
4417,2024-05-16,Zombie,61.0,swamp,murder,pistol,day,potions
9960,2023-07-27,Skeleton,2.0,mountain,vandalism,brute force,dusk,cloak
8327,2022-03-01,Skeleton,15.0,mountain,Nightly disturbance,pistol,night,cloak
3484,2023-08-28,Skeleton,19.0,mountain,nightly disturbance,N/A,night,bones
2975,2021-03-06,Werewolf,52.0,forest,vandalism,axe,night,Teeth
2493,2023-04-12,Skeleton,9.0,mountain,arson,N/A,day,cloak
8669,2023-10-27,Ghost,18.0,village,nightly disturbance,N/A,night,cloak
5564,2022-02-24,Zombie,99.0,swamp,assault,N/A,night,blood
2728,2021-05-22,Witch,78.0,swamp,arson,axe,day,teeth
2475,2024-07-13,Zombie,75.0,swamp,murder,N/A,dawn,potions
20,2020-05-08,Skeleton,74.0,castle,assault,brute force,dusk,bones
2778,2020-10-20,Skeleton,86.0,mountain,vandalism,knife,dusk,bones
5455,2020-05-03,Werewolf,20.0,mountain,nightly disturbance,N/A,night,blood
8158,2023-12-30,Werewolf,47.0,village,vandalism,knife,dusk,blood
6941,2021-01-07,Zombie,80.0,mountain,kidnapping,knife,dawn,bones
4755,2022-11-01,Zombie,16.0,village,assault,axe,night,teeth
9571,2022-06-16,Ghost,99.0,village,theft,N/A,dusk,cloak
817,2022-07-18,Zombie,32.0,swamp,kidnapping,brute force,night,teeth
7550,2021-08-26,Zombie,44.0,swamp,kidnapping,knife,dawn,bones
2301,2022-12-15,Witch,9.0,village,theft,knife,night,teeth
1945,2021-04-04,Ghost,20.0,castle,vandalism,pistol,dawn,cloak
1486,2023-02-19,Vampire,99.0,castle,assault,brute force,dawn,blood
8011,2023-05-02,Zombie,30.0,swamp,kidnapping,N/A,dawn,teeth
7480,2020-12-26,Ghost,97.0,castle,vandalism,N/A,night,cloak
2434,2023-06-04,Skeleton,45.0,mountain,vandalism,N/A,dusk,bones
1154,2023-09-27,Werewolf,33.0,forest,assault,N/A,night,potions
1766,2023-12-28,Werewolf,6.0,mountain,nightly disturbance,knife,night,teeth
5769,2019-11-14,Witch,94.0,village,arson,N/A,day,bones
5022,2024-06-17,Zombie,36.0,mountain,kidnapping,N/A,dusk,potions
7371,2022-09-24,Witch,61.0,village,kidnapping,brute force,dawn,cloak
8230,2022-03-29,Vampire,24.0,castle,assault,axe,night,cloak
2865,2023-06-03,Witch,19.0,FOREST,kidnapping,knife,night,potions
3165,2021-03-17,Witch,87.0,swamp,arson,axe,night,bones
1325,2022-06-18,Witch,11.0,village,theft,brute force,night,blood
8738,2022-01-17,Ghost,99.0,village,vandalism,N/A,dusk,cloak
6843,2022-05-31,Werewolf,10.0,mountain,assault,pistol,night,bones
6825,2020-08-16,werewolf,98.0,swamp,assault,pistol,night,blood
628,2022-11-01,Werewolf,69.0,forest,vandalism,N/A,night,bones
2731,2019-12-22,Ghost,15.0,village,vandalism,knife,Dawn,cloak
2226,2023-02-22,Skeleton,68.0,castle,arson,axe,dusk,bones
6258,2024-09-13,Zombie,40.0,mountain,murder,pistol,night,blood
8914,2023-01-14,Witch,90.0,village,kidnapping,N/A,day,cloak
1058,2020-11-05,Vampire,48.0,castle,nightly disturbance,pistol,night,cloak
5828,2020-11-21,Ghost,52.0,castle,nightly disturbance,knife,night,potions
10048,2020-07-29,Ghost,56.0,castle,nightly disturbance,axe,night,potions
9110,2022-08-12,Witch,11.0,swamp,kidnapping,N/A,dusk,bones
751,2023-05-11,Vampire,99.0,castle,nightly disturbance,pistol,night,blood
227,2019-10-31,Werewolf,39.0,swamp,vandalism,N/A,night,fur
3183,2023-11-15,Werewolf,58.0,forest,assault,N/A,night,fur
633,2021-04-16,Ghost,25.0,forest,nightly disturbance,axe,night,potions
9426,2022-09-09,Witch,2.0,village,kidnapping,n/A,dawn,potions
7640,2021-04-09,Skeleton,95.0,mountain,arson,knife,dawn,bones
4628,2020-08-17,Werewolf,44.0,forest,assault,pistol,night,BONES
5771,2023-07-17,Zombie,17.0,swamp,kidnapping,pistol,dusk,teeth
3319,2020-11-28,Witch,65.0,swamp,arson,N/A,dusk,potions
7659,2021-08-25,Ghost,54.0,village,arson,pistol,dusk,cloak
9743,2019-11-16,Werewolf,23.0,Forest,kidnapping,knife,night,fur
1546,2020-10-04,Zombie,90.0,mountain,kidnapping,pistol,dawn,teeth
9782,2024-04-30,Vampire,45.0,mountain,murder,N/A,night,blood
358,2022-11-30,Zombie,98.0,swamp,kidnapping,N/A,dawn,potions
2502,2023-11-27,Ghost,71.0,castle,vandalism,knife,night,cloak
8090,2021-03-02,Vampire,43.0,castle,murder,pistol,night,CLOAK
6541,2024-03-31,Ghost,45.0,mountain,nightly disturbance,pistol,night,cloak
6515,2022-05-13,Werewolf,65.0,forest,assault,N/A,night,bones
244,2020-04-22,Vampire,65.0,castle,murder,brute force,dusk,teeth
2654,2024-06-09,Werewolf,73.0,mountain,assault,N/A,night,fur
9884,2020-07-04,Zombie,48.0,village,kidnapping,knife,night,fur
7269,2022-07-16,Werewolf,87.0,forest,kidnapping,knife,night,fur
7768,2024-09-16,Ghost,57.0,village,vandalism,N/A,dusk,potions
3029,2021-09-23,Werewolf,22.0,mountain,vandalism,knife,night,fur
6506,2023-09-13,Witch,25.0,village,arson,N/A,dawn,potions
4608,2021-02-09,Werewolf,62.0,forest,nightly disturbance,knife,night,fur
8701,2024-09-08,Werewolf,44.0,swamp,assault,knife,night,blood
1495,2022-05-22,Werewolf,20.0,forest,assault,knife,night,blood
1028,2024-05-11,Zombie,40.0,swamp,murder,axe,night,Teeth
3128,2024-03-04,Vampire,68.0,castle,nightly disturbance,pistol,night,teeth
6244,2024-07-13,Witch,99.0,village,arson,brute force,day,teeth
5007,2022-10-31,Vampire,32.0,castle,nightly disturbance,N/A,night,cloak
8579,2023-05-03,Vampire,16.0,castle,assault,N/A,night,blood
1115,2021-02-13,Vampire,62.0,castle,assault,N/A,night,cloak
6143,2023-06-16,Zombie,32.0,swamp,kidnapping,brute force,night,potions
9621,2021-04-08,Ghost,42.0,village,vandalism,N/A,dusk,cloak
5242,2021-08-22,Ghost,53.0,village,NIGHTLY DISTURBANCE,knife,night,cloak
4223,2020-10-21,Ghost,55.0,castle,vandalism,axe,night,potions
4513,2021-11-01,Witch,57.0,village,arson,knife,night,potions
1643,2023-04-23,Ghost,13.0,castle,vandalism,axe,dawn,cloak
6786,2024-04-19,Zombie,33.0,forest,kidnapping,brute force,dusk,blood
3837,2020-01-02,Zombie,88.0,swamp,kidnapping,knife,dawn,potions
3085,2023-09-08,Werewolf,36.0,mountain,assault,knife,night,fur
2899,2022-11-20,Witch,83.0,village,arson,N/A,dawn,cloak
1447,2020-08-29,Vampire,18.0,village,nightly disturbance,n/A,night,Cloak
8060,2024-09-09,Skeleton,70.0,mountain,assault,knife,day,cloak
9439,2024-06-05,Werewolf,39.0,swamp,vandalism,N/A,night,fur
9514,2023-01-25,Skeleton,49.0,castle,arson,brute force,dusk,cloak
4117,2022-05-06,Skeleton,7.0,mountain,NIGHTLY DISTURBANCE,knife,night,bones
222,2024-02-07,Ghost,36.0,castle,arson,axe,dusk,cloak
3592,2020-02-03,Vampire,75.0,castle,murder,knife,dawn,blood
8013,2020-02-29,Skeleton,7.0,castle,vandalism,brute force,dusk,cloak
8508,2023-07-12,Vampire,30.0,castle,assault,pistol,night,blood
1046,2021-03-12,Skeleton,55.0,mountain,assault,knife,day,bones
3812,2023-04-21,Witch,68.0,village,theft,pistol,dusk,potions
4174,2023-08-21,Skeleton,57.0,mountain,assault,N/A,dawn,bones
2363,2020-05-24,Witch,90.0,village,kidnapping,N/A,day,bones
6558,2023-05-19,Zombie,62.0,swamp,assault,pistol,dawn,potions
1498,2020-08-20,Skeleton,67.0,mountain,arson,knife,dusk,bones
915,2021-08-29,Zombie,26.0,swamp,kidnapping,knife,day,potions
6150,2024-10-02,Skeleton,88.0,castle,nightly disturbance,Pistol,night,cloak
6532,2024-04-21,Ghost,7.0,village,nightly disturbance,brute force,night,potions
5736,2019-11-17,Werewolf,78.0,forest,assault,N/A,dusk,blood
2801,2020-04-23,Ghost,13.0,castle,VANDALISM,knife,dusk,cloak
1825,2021-02-18,Zombie,21.0,swamp,kidnapping,axe,day,blood
7447,2019-11-18,Skeleton,10.0,mountain,assault,axe,day,bones
2139,2021-06-13,Werewolf,92.0,forest,kidnapping,brute force,night,fur
4580,2021-02-20,Vampire,17.0,castle,theft,brute force,night,cloak
2559,2021-12-30,Vampire,54.0,castle,theft,knife,night,cloak
8612,2022-12-29,Skeleton,64.0,mountain,nightly disturbance,brute force,night,cloak
3506,2023-08-09,Witch,90.0,village,arson,N/A,day,potions
1417,2020-08-21,Vampire,37.0,mountain,nightly disturbance,axe,night,blood
861,2019-11-11,Skeleton,83.0,castle,arson,brute force,day,bones
3115,2023-10-03,Werewolf,48.0,forest,assault,pistol,day,teeth
8101,2022-08-13,Witch,79.0,swamp,arson,N/A,dawn,cloak
7639,2024-05-14,Werewolf,57.0,swamp,assault,pistol,night,fur
5587,2022-07-20,Zombie,87.0,forest,kidnapping,pistol,dusk,teeth
7931,2024-05-29,Werewolf,55.0,swamp,assault,axe,night,fur
4979,2021-04-16,Skeleton,36.0,castle,vandalism,N/A,day,bones
5209,2022-12-27,Werewolf,75.0,village,assault,axe,night,teeth
9812,2020-03-01,Zombie,39.0,Village,murder,knife,night,teeth
3885,2024-06-05,Skeleton,71.0,castle,vandalism,brute force,day,bones
6549,2020-12-18,Witch,76.0,mountain,arson,knife,dawn,cloak
755,2023-09-25,Skeleton,67.0,castle,vandalism,axe,night,bones
3066,2022-09-07,Vampire,78.0,castle,assault,pistol,dawn,blood
352,2024-09-23,Skeleton,41.0,castle,vandalism,knife,day,bones
3386,2022-11-27,Ghost,82.0,castle,vandalism,axe,night,cloak
2896,2022-08-14,Skeleton,28.0,mountain,nightly disturbance,pistol,night,bones
2193,2024-02-02,Werewolf,60.0,forest,assault,N/A,night,blood
7025,2023-01-09,Skeleton,97.0,castle,vandalism,N/A,day,cloak
6272,2021-12-13,Witch,26.0,swamp,kidnapping,axe,night,cloak
2808,2022-10-10,Werewolf,26.0,mountain,kidnapping,knife,dawn,fur
1456,2021-12-10,Witch,78.0,village,kidnapping,knife,dusk,cloak
5716,2020-09-27,Witch,74.0,village,kidnapping,pistol,dusk,cloak
9754,2021-01-21,Ghost,52.0,village,arson,knife,night,cloak
3059,2023-12-22,Witch,24.0,forest,Kidnapping,N/A,night,potions
6179,2020-09-20,Werewolf,32.0,forest,kidnapping,axe,night,bones
2511,2020-07-05,Witch,88.0,village,arson,knife,dusk,potions
2914,2020-09-17,Vampire,20.0,castle,assault,knife,dusk,blood
5619,2021-05-26,Skeleton,54.0,castle,assault,axe,dusk,cloak
771,2021-01-20,Ghost,36.0,village,theft,axe,night,potions
6547,2023-12-31,Witch,15.0,village,arson,pistol,day,potions
1632,2024-06-30,Zombie,45.0,swamp,assault,brute force,night,fur
1236,2020-01-04,Vampire,96.0,mountain,nightly disturbance,brute force,night,blood
8752,2021-07-14,Vampire,12.0,village,assault,N/A,dawn,blood
6285,2022-05-02,Werewolf,83.0,forest,nightly disturbance,knife,night,fur
1592,2020-03-29,Ghost,79.0,castle,nightly disturbance,knife,night,cloak
9485,2023-07-08,Zombie,50.0,village,kidnapping,knife,dusk,potions
6416,2022-08-27,Vampire,22.0,village,assault,brute force,dawn,blood
3821,2021-12-02,Zombie,2.0,swamp,kidnapping,knife,night,bones
4419,2023-02-15,Ghost,58.0,castle,arson,N/A,night,potions
716,2022-09-10,Skeleton,48.0,mountain,nightly disturbance,N/A,night,cloak
517,2023-05-21,Ghost,54.0,village,vandalism,N/A,night,Potions
2986,2023-06-30,Vampire,24.0,mountain,assault,N/A,night,blood
7610,2021-08-06,Zombie,54.0,swamp,murder,axe,night,fur
6404,2023-01-26,Zombie,64.0,swamp,kidnapping,pistol,dawn,fur
9012,2019-11-22,Vampire,96.0,castle,assault,axe,night,cloak
7134,2020-11-05,Werewolf,33.0,forest,assault,axe,night,blood
7233,2019-11-13,witch,37.0,village,kidnapping,axe,dusk,potions
7444,2021-10-22,Ghost,32.0,village,vandalism,N/A,dusk,potions
6898,2023-12-09,Ghost,43.0,village,nightly disturbance,knife,night,potions
3652,2024-02-05,Vampire,65.0,castle,assault,knife,dusk,cloak
4703,2024-10-23,Werewolf,50.0,forest,nightly disturbance,axe,night,Fur
7046,2024-04-09,Werewolf,36.0,mountain,assault,brute force,night,bones
4394,2022-03-18,Werewolf,41.0,village,vandalism,knife,day,fur
719,2024-04-16,Vampire,93.0,forest,theft,pistol,dusk,teeth
6544,2022-12-03,Skeleton,16.0,castle,vandalism,pistol,night,bones
9220,2020-03-23,Vampire,17.0,castle,murder,pistol,dawn,cloak
8288,2021-04-06,Ghost,81.0,village,vandalism,knife,night,potions
9295,2021-08-25,Witch,58.0,village,arson,knife,dawn,potions
720,2023-12-15,Vampire,27.0,castle,nightly disturbance,pistol,night,blood
9203,2023-04-27,Werewolf,46.0,forest,assault,brute force,night,blood
1259,2023-06-17,Skeleton,35.0,castle,vandalism,N/A,day,bones
9883,2022-07-13,Ghost,9.0,castle,nightly disturbance,pistol,night,potions
6918,2020-08-11,Skeleton,28.0,castle,arson,brute force,dawn,bones
5183,2023-12-17,Zombie,81.0,swamp,murder,knife,dawn,potions
723,2020-04-20,Ghost,49.0,castle,nightly disturbance,N/A,night,potions
3499,2021-01-28,Vampire,71.0,castle,murder,brute force,night,teeth
4439,2021-05-27,Witch,97.0,swamp,kidnapping,brute force,night,cloak
4614,2020-05-28,Skeleton,12.0,mountain,vandalism,knife,day,bones
8893,2024-08-12,Ghost,49.0,mountain,arson,brute force,dawn,POTIONS
8576,2023-08-18,Witch,88.0,swamp,arson,knife,dusk,cloak
7777,2023-02-21,Skeleton,72.0,castle,vandalism,N/A,dawn,bones
216,2023-05-30,Witch,95.0,village,kidnapping,knife,day,blood
9865,2024-02-24,Werewolf,27.0,mountain,assault,brute force,night,teeth
6908,2022-12-02,Werewolf,18.0,mountain,vandalism,knife,night,potions
1020,2020-09-07,Witch,21.0,village,arson,N/A,dawn,teeth
328,2023-12-01,Zombie,25.0,village,kidnapping,brute force,dawn,blood
5452,2022-07-27,Zombie,13.0,swamp,kidnapping,pistol,dusk,potions
6050,2019-11-18,Skeleton,44.0,mountain,arson,brute force,day,bones
3206,2024-01-07,Witch,17.0,village,arson,N/A,night,cloak
339,2024-08-28,Ghost,87.0,castle,vandalism,pistol,night,cloak
8390,2022-07-10,Skeleton,31.0,mountain,arson,knife,dusk,bones
